total_count,11493
repository,Manuscripts and Archives

repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1739747,Edward Mandell House papers,Correspondence,series,76,linear_feet,whole
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1748049,Edward Mandell House papers,Diaries,series,4.25,linear_feet,whole
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1748118,Edward Mandell House papers,Political Papers,series,20.5,linear_feet,whole
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1749901,Edward Mandell House papers,Writings,series,2,linear_feet,whole
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1750092,Edward Mandell House papers,Personal and Memorabilia,series,18.5,linear_feet,whole
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1750499,Edward Mandell House papers,Indices,series,2,linear_feet,whole
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/2397300,Edward Mandell House papers,Additional Material,series,9.0,linear_feet,whole
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1750512,Edward Mandell House papers,Additional Material,series,,,
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1750521,Edward Mandell House papers,Additional Material,series,,,
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1750624,Edward Mandell House papers,Additional Material,series,,,
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/1750626,Edward Mandell House papers,Additional Material,series,,,
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/2849832,Edward Mandell House papers,Additional Material,series,,,
/repositories/12,/repositories/12/resources/4556,,/repositories/12/archival_objects/3196236,Edward Mandell House papers,Additional Material,series,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739747,/repositories/12/archival_objects/1739748,Edward Mandell House papers,"<title render=""italic"">Select Correspondence</title>",file,,,
/repositories/12,/repositories/12/resources/4556,/repositories/12/archival_objects/1739747,/repositories/12/archival_objects/1743065,Edward Mandell House papers,"<title render=""italic"">General Correspondence</title>",file,,,
